asin,titulo,autor
B08MZ961G7,"
RAPTOR: el último dinosaurio en la tierra
",
B01JRW5GOQ,"
El problema de los tres cuerpos (Trilogía de los Tres Cuerpos 1): Primer volumen trilogía
",Cixin Liu
B074QMVVVL,"
Kepler 22B: Un planeta, dos mundos
",A. M. Vozmediano
B085Y8HD84,"
Hacia las estrellas (La astronauta nº 1)
",Mary Robinette Kowal
B08M9SS5YP,"
Matar a la Reina (Diamante Rojo nº 1)
",Angy Skay
B06Y2BKR23,"
Diario del Viajero
",Iván Gilabert
B095XKQJ1X,"
La última emperox nº 03/03 (Biblioteca John Scalzi)
",John Scalzi
B006543F8Y,"
Trilogía de la Fundación
",Isaac Asimov
B08Y67MS88,"
Homine ex machina (Biblioteca Carlos Sisí)
",Carlos Sisí
B06XH1RXXN,"
AMOR Y MUERTE: Una historia de Amor, Romance y Apasionantes Escoceses (Los Escoceses de Channing nº 2)
",Margotte Channing
B07BP6BXJV,"
Amanecer Verde: I Premio Isaac Asimov (Quasar nº 4)
",
B014R3O1CS,"
Palabras radiantes (El Archivo de las Tormentas 2): Saga la guerra de las tormentas II (El archivo de las Tormentas)
",Brandon Sanderson
B07MDH3VMR,"
TENÍA QUE ENCONTRARTE
",Gema Samaro
B07BLLM4QK,"
Los Escoceses de Channing: Esclava del Odio - Amor y Muerte - Aidan y Amy - en un Pack Especial
",Margotte Channing
B01LXW2W9O,"
Atlantes
",Iván Gilabert
B074FBXX9R,"
El bosque oscuro (Trilogía de los Tres Cuerpos 2)
",Cixin Liu
B01HLGU4RY,"
La galaxia en llamas nº 3/54: The Horus Heresy (Warhammer The Horus Heresy)
",Ben Counter
B01AIOM3M0,"
Cruzados de las Estrellas: Volumen 1 (Cruzados de las Estrellas - Volúmenes)
",Alan Somoza
B079W156TY,"
El fin de la muerte (Trilogía de los Tres Cuerpos 3)
",Cixin Liu
B08CJQ3N6Q,"
Cuatro
",Iván Gilabert
B00J8YLETU,"
Luna APOGEO
",Rubén Azorín Antón
B0975DGQMC,"
Evolución
",José Luis  Giménez Rodríguez
B06XVVXDFH,"
Mass Effect: la invasion segadora. (Mass Effect: La guerra de los Segadores nº 2)
",
B07492HPZZ,"
Apocalipsis Z. El principio del fin (Autores Españoles e Iberoamericanos)
",Manel Loureiro
B08XWS5JH4,"
Las nubes de Venus: Hard Science Fiction
",Brandon Q. Morris
B0973MJNJZ,"
Millie y su guerrero alienígena: Un romance de ciencia ficción. (Precuela). Serie: la venganza de Kamile. Libro: 0.5
",M. Ross Potter
B01M1UNSLN,"
Sombras de identidad (Nacidos de la bruma [Mistborn] 5): Mistborn 5. Nacidos de la Bruma
",Brandon Sanderson
B0989SJ1WK,"
ENIGMAS BAJO CERO (SIN ESCAPE nº 1)
",J. D.  Oldman
B06WVWN9N9,"
Las llaves de luz (La Puerta Verde nº 1)
",
B07HCPH34X,"
Los Elementales - MUNDOS INDIVIDUALES: El frío espacio sideral no tiene sentimientos ni compasión
",Boris Mosso
B08M8VV6T5,"
La última Torre (Serie Diamante Rojo nº 2)
",Angy Skay
B08LR2FLVN,"
Las cenizas de Babilonia (The Expanse 6)
",James S.A. Corey
B078WJ6X6S,"
Ciénaga salvaje (Capitán Jacobs nº 2)
",
B07Z2992N3,"
La feria de las tinieblas (Biblioteca Ray Bradbury)
",Ray Bradbury
B00HJZ22IW,"
Un mago de Terramar (Historias de Terramar 1) (Biblioteca Ursula K. Le Guin)
",Ursula K. Le Guin
B087LQV4Y5,"
RENAISSANCE: La caída de los hombres
",
B07CT73KDC,"
Emisarios del Caos (Leyendas del Sol Negro nº 3)
",
B08NTVJ7QK,"
Luna Helada: La Colección: Hard Science Fiction
",Brandon Q. Morris
B00HXJS6UM,"
Cuerpo de Asalto
",Alberto Meneses
B01MTP2XC4,"
LA SELVA PÁLIDA: Todas las teorías de la conspiración son cuentos inventados por paranoicos. ¿O no?
",Armando Cuevas Calderón
B006NQHEDQ,"
Rebelión (Ecos de un futuro distante nº 1)
",Álex Riveiro
B086L5RRWG,"
Los Elementales - EL OSCURO OCÉANO SIN FIN: Una epopeya espacial que cambiará la historia del Universo
",Boris Mosso
B08H5L2ZX1,"
Tetralogía de Historia de los muertos
",F. Javier García de Castro
B07P1CCPMR,"
La nave negra
",
B098B1CN5T,"
El enigma del navegante: Hay mitos que ocultan realidades. Algunas, terribles
",Armando Cuevas Calderón
B01MR49F5S,"
Madrid zombi 2
",Juan Carlos Sánchez Clemares
B00U6EVWFW,"
Inundación: El Despertar
",Alberto Meneses
B08XYG9VQK,"
La Fuente Oscura: Hard Science Fiction
",Brandon Q. Morris
B08XBC1Y48,"
LAS CRÓNICAS DE OWEN: La Guerra Sin Fin
",Cristian Barros  Diaz
B081P2299D,"
Escrito con la sangre de mi corazón (Saga Outlander 8)
",Diana Gabaldon
B096YJH131,"
El caso de los cerebros inservibles: Una historia de Inmemorian (Serie: Inmemorian (Ganadora del Premio Literario Amazon 2019))
",Ismael Santiago Rubio
B088BKC24T,"
La estirpe maldita: El mayor misterio del universo somos nosotros
",Carter Damon
B00OP85U44,"
Madrid zombi
",Juan Carlos Sánchez Clemares
B086DQYZSC,"
El cuarto jinete
",
B08WK96KVK,"
Tenebris
",Mónica Benítez
B081PC1NBW,"
Forastera (Saga Outlander 1)
",Diana Gabaldon
B081PBR9F9,"
Atrapada en el tiempo (Saga Outlander 2)
",Diana Gabaldon
B00CGBHRCA,"
El Secreto de Boca Verde
",
B00ANU1V3C,"
Fahrenheit 451 (Minotauro Esenciales)
",Ray Bradbury
B07TTKDXLP,"
Nacidos de la bruma (Mistborn): Pack con El imperio final, El Pozo de la ascensión y El héroe de las eras
",Brandon Sanderson
B08P6CJWW4,"
Nación de Marte 1: Hard Science Fiction
",Brandon Q. Morris
B007ECLVT6,"
El aliento de los dioses (Edición revisada)
",Brandon Sanderson
B08PSZXD7N,"
Nación de Marte 2: Hard Science Fiction
",Brandon Q. Morris
B092TPCF9T,"
La Grieta: Ciencia Ficción Dura
",Brandon Q. Morris
B071YBK8NF,"
Pack TRILOGÍA CENTAURI
",Alberto Meneses
B00AR07H9A,"
El Pozo de la Ascensión (Nacidos de la bruma [Mistborn] 2): Nacidos de la Bruma II (Mistborn)
",Brandon Sanderson
B09526C1JC,"
MADRID ZOMBI 4
",Juan Carlos Sánchez Clemares
B071ZMVB6Q,"
Brazales de Duelo (Nacidos de la bruma [Mistborn] 6): Mistborn 6. Nacidos de la Bruma
",Brandon Sanderson
B08Y79Y3VR,"
Reinicio: La Hermandad Corsaria, episodio 1
",Alan Somoza
B009D04QM6,"
Aleación de ley (Nacidos de la bruma [Mistborn] 4)
",Brandon Sanderson
B08J5L3MZC,"
Exhalación
",Ted Chiang
B06X94SDM3,"
Los jardines de la Luna (Malaz: El Libro de los Caídos 1): Malaz 1
",Steven Erikson
B08HLSBMFQ,"
El destino celeste (La astronauta nº 2)
",Mary Robinette Kowal
B093FZB3X7,"
Bienvenidos a Maddom
",Sergi Aparici Mañé
B08WFQCG92,"
Klara y el Sol (Panorama de narrativas nº 1046)
",Kazuo Ishiguro
B097N4JPFN,"
Un Diminuto Contratiempo
",Gema Tacón
B00BJ8KTBC,"
Preludio a la Fundación (Ciclo de la Fundación 1)
",Isaac Asimov
B07CM4QCXC,"
El naturalista (Las investigaciones de Theo Cray nº 1)
",Andrew Mayne
B072DYNZSQ,"
Dune (Nueva edición) (Las crónicas de Dune 1)
",Frank Herbert
B07YYNPZ18,"
Trilogía de los Tres Cuerpos: Pack con: El problema de los tres cuerpos | El bosque oscuro | El fin de la muerte
",Cixin Liu
B01DKMR9DA,"
Elantris (edición décimo aniversario: versión definitiva del autor): Edición X Aniversario. Versión definitiva del autor
",Brandon Sanderson
B007KCCVXU,"
Crónicas de la Torre III. La llamada de los muertos
",
B07YM4WZYG,"
La Segunda Oleada: Primer libro de la serie 'La Galaxia Elíptica'
",
B0914SC6B3,"
The Horus Heresy nº 47/54 Vieja Tierra (Warhammer The Horus Heresy)
",Nick Kyme
B07TZ9K7VD,"
Virus Z
",Iván Gilabert
B076LCSGJW,"
Artemisa
",Andy Weir
B00VZXWCAM,"
INFECTUM (Edición completa): (El survival horror con más de 100000 descargas desde su publicación)
",David Pardo
B08TSZFWBT,"
Ready Player Two
",Ernest Cline
B07DWL4DGG,"
El algoritmo Trinity
",Carter Damon
B07GVQJVDS,"
La hora muerta (Crónicas del Homo mortem nº 1)
",Vicente Silvestre Marco
B00CH2TR7Q,"
El Héroe de las Eras (Nacidos de la bruma [Mistborn] 3): Nacidos de la Bruma III (Mistborn)
",Brandon Sanderson
B095MDM9YV,"
Anfitrite: El Planeta Negro: Hard Science Fiction
",Brandon Q. Morris
B014R3ODUI,"
El camino de los reyes (El Archivo de las Tormentas 1): Saga la guerra de las tormentas I (Edición Revisada)
",Brandon Sanderson
B098RFCM29,"
La Campana Nazi: Un nuevo caso de Halcón, protagonista de La Torre Tesla
",Rubén Azorín Antón
B0915884LT,"
The Horus Heresy nº 46/54 Tormenta de Ruina (Warhammer The Horus Heresy)
",David Annandale
B096CT1W6T,"
El tesoro del pirata: Una novela corta de romance histórico de viajes en el tiempo en las islas del Caribe (Al tiempo del pirata nº 1)
",Mariah Stone
B072DWN7CM,"
La quinta estación (La Tierra Fragmentada 1): La Tierra Fragmentada I (Premio Hugo 2016)
",N.K. Jemisin
B00AR07NXU,"
El imperio final (Nacidos de la bruma [Mistborn] 1): Nacidos de la Bruma I (Mistborn)
",Brandon Sanderson
B08ZWCJ5XJ,"
Proyecto Hail Mary
",Andy Weir
B073MQRG36,"
La Torre Tesla (Halcón)
",Rubén Azorín Antón
